client_id	nom	cognom1	sexe	data_naixement	pais_origen_id
10001	Geo'rgi	Facello	M	26/06/1986	16
10002	Bezalel	Simmel	F	21/11/1985	18
10003	Parto	Bamford	M	28/08/1986	17
10004	Chirstian	Koblick	M	01/12/1986	3
10005	Kyoichi	Maliniak	M	12/09/1989	16
10006	Anneke	Preusig	F	02/06/1989	6
10007	Tzvetan	Zielinski	F	10/02/1989	6
10008	Saniya	Kalloufi	M	15/09/1994	7
10009	Sumant	Peac	F	18/02/1985	19
10010	Duangkaew	Piveteau	F	24/08/1989	11
10011	Mary	Sluis	F	22/01/1990	16
10012	Patricio	Bridgland	M	18/12/1992	15
10013	Eberhardt	Terkki	M	20/10/1985	3
10014	Berni	Genin	M	11/03/1987	6
10015	Guoxiang	Nooteboom	M	02/07/1987	19
10016	Kazuhito	Cappelletti	M	27/01/1995	17
10017	Cra"ristinel	Bouloucos	F	03/08/1993	17
10018	Kazuhide	Peha	F	03/04/1987	13
10019	Lillian	Haddadi	M	30/04/1999	9
10020	Mayuko	Warwick	M	26/01/1991	11
10021	Ramzi	Erde	M	10/02/1988	19
10022	Shahaf	Famili	M	22/08/1995	17
10023	Bojan	Montemayor	F	17/12/1989	17
10024	Suzette,Meri	Pettey	F	19/05/1997	10
10025	Prasadram	Heyers	M	17/08/1987	16
10026	Yongqiao	Berztiss	M	20/03/1995	10
10027	Divier	Reistad	F	07/07/1989	4
10028	Domenick	Tempesti	M	22/10/1991	4
10029	Otmar	Herbst	M	20/11/1985	17
10030	Elvis	Demeyer	M	17/02/1994	19
10031	Karsten	Joslin	M	01/09/1991	5
10032	Jeong	Reistad	F	20/06/1990	15
10033	Arif	Merlo	M	18/03/1987	10
10034	Bader	Swan	M	21/09/1988	9
10035	Alain	Chappelet	M	05/09/1988	10
10036	Adamantios	Portugali	M	03/01/1992	3
10037	Pradeep	Makrucki	M	05/12/1990	15
10038	Huan	Lortz	M	20/09/1989	5
10039	Alejandro	Brender	M	19/01/1988	8
10040	Weiyi	Meriste	F	14/02/1993	11
10041	Uri	Lenart	F	12/11/1989	8
10042	Magy	Stamatiou	F	21/03/1993	15
10043	Yishay	Tzvieli	M	20/10/1990	3
10044	Mingsen	Casley	F	21/05/1994	4
10045	Moss	Shanbhogue	M	02/09/1989	8
10046	Lucien	Rosenbaum	M	20/06/1992	16
10047	Zvonko	Nyanchama	M	31/03/1989	4
10048	Florian	Syrotiuk	M	24/02/1985	8
10049	Basil	Tramer	F	04/05/1992	2
10050	Yinghua	Dredge	M	25/12/1990	10
10051	Hidefumi	Caine	M	15/10/1992	11
10052	Heping	Nitsch	M	21/05/1988	16
10053	Sanjiv	Zschoche	F	04/02/1986	5
10054	Mayumi	Schueller	M	13/03/1995	2
10055	Georgy	Dredge	M	27/04/1992	14
10056	Brendon	Bernini	F	01/02/1990	4
10057	Ebbe	Callaway	F	15/01/1992	9
10058	Berhard	McFarlin	M	13/04/1987	7
10059	Alejandro	McAlpine	F	26/06/1991	11
10060	Breannda	Billingsley	M	02/11/1987	2
10061	Tse	Herber	M	17/09/1985	8
10062	Anoosh	Peyn	M	30/08/1991	15
10063	Gino	Leonhardt	F	08/04/1989	14
10064	Udi	Jansch	M	20/11/1985	12
10065	Satosi	Awdeh	M	18/05/1988	19
10066	Kwee	Schusler	M	26/02/1986	2
10067	Claudi	Stavenow	M	04/03/1987	19
10068	Charlene	Brattka	M	07/08/1987	10
10069	Margareta	Bierman	F	05/11/1989	14
